atc_top,category,unique_drug_count,atc_code_instances
N,신경계 (Nervous system),885,901
A,소화기·대사(Alimentary tract & metabolism),784,845
J,전신 항감염제 (Antiinfectives for systemic use),773,786
C,심혈관계 (Cardiovascular system),705,721
L,항종양·면역조절제 (Antineoplastic & immunomodulating agents),589,597
R,호흡기계 (Respiratory system),538,651
D,피부 (Dermatologicals),516,655
S,감각기관 (Sensory organs),484,696
V,기타 (Various),329,345
G,비뇨생식기·성호르몬 (Genito-urinary system & sex hormones),326,368
B,혈액·조혈기관 (Blood & blood forming organs),282,292
M,근골격계 (Musculo-skeletal system),261,316
H,전신 호르몬제 (Systemic hormonal preparations),173,173
P,항기생충제 (Antiparasitic products),137,137
