child_dgroup_id,parent_type,parent_id,parent_label,child_name
DG00003,dgroup,DG01447,Aminoglycoside antibiotic,Neomycin
DG00004,dgroup,DG01883,Imidazole antifungal,Miconazole
DG00004,dgroup,DG01643,CYP2C9 inhibitor,Miconazole
DG00004,dgroup,DG02852,CYP3A/CYP3A4 inhibitor,Miconazole
DG00005,dgroup,DG01197,Tetracycline antibiotic,Tetracycline
DG00006,dgroup,DG01884,Imidazole antiprotozoal,Metronidazole
DG00006,dgroup,DG01638,CYP2A6 substrate,Metronidazole
DG00006,dgroup,DG01643,CYP2C9 inhibitor,Metronidazole
DG00007,dgroup,DG01197,Tetracycline antibiotic,Chlortetracycline
DG00008,dgroup,DG01197,Tetracycline antibiotic,Doxycycline
DG00009,dgroup,DG01197,Tetracycline antibiotic,Minocycline
DG00010,dgroup,DG01955,Corticosteroid,Triamcinolone
DG00010,dgroup,DG02068,Glucocorticoid,Triamcinolone
DG00011,dgroup,DG01955,Corticosteroid,Dexamethasone
DG00011,dgroup,DG02068,Glucocorticoid,Dexamethasone
DG00011,dgroup,DG01633,CYP3A/CYP3A4 substrate,Dexamethasone
DG00011,dgroup,DG02913,CYP3A4 substrate,Dexamethasone
DG00011,dgroup,DG02853,CYP3A/CYP3A4 inducer,Dexamethasone
DG00011,dgroup,DG01635,CYP3A4 inducer,Dexamethasone
DG00012,dgroup,DG01955,Corticosteroid,Hydrocortisone
DG00012,dgroup,DG02068,Glucocorticoid,Hydrocortisone
DG00012,dgroup,DG01633,CYP3A/CYP3A4 substrate,Hydrocortisone
DG00013,dgroup,DG01703,Cardiotonic,Epinephrine
DG00013,dgroup,DG01699,Catecholamine cardiotonic,Epinephrine
DG00013,dgroup,DG01456,Adrenergic receptor agonist,Epinephrine
DG00013,dgroup,DG01951,Catecholamine adrenergic receptor agonist,Epinephrine
DG00013,dgroup,DG01592,COMT substrate,Epinephrine
DG00013,dgroup,DG02917,MAO substrate,Epinephrine
DG00014,dgroup,DG01504,Nonsteroidal anti-inflammatory drug (NSAID),Benzydamine
DG00015,dgroup,DG01950,Antithrombotic agent,Acetylsalicylic acid
DG00015,dgroup,DG01712,Antiplatelet agent,Acetylsalicylic acid
DG00015,dgroup,DG01504,Nonsteroidal anti-inflammatory drug (NSAID),Acetylsalicylic acid
DG00015,dgroup,DG01909,"Anti-inflammatory drug, salicylic acid derivatives",Acetylsalicylic acid
DG00016,dgroup,DG01456,Adrenergic receptor agonist,Adrenalone
DG00016,dgroup,DG01450,alpha-Adrenergic receptor agonist,Adrenalone
DG00016,dgroup,DG01448,alpha1-Adrenergic receptor agonist,Adrenalone
DG00016,dgroup,DG01951,Catecholamine adrenergic receptor agonist,Adrenalone
DG00017,dgroup,DG01975,Agents for peptic ulcer,Cimetidine
DG00017,dgroup,DG01481,Histamine receptor H2 antagonist,Cimetidine
DG00017,dgroup,DG01645,CYP2D6 inhibitor,Cimetidine
DG00017,dgroup,DG02852,CYP3A/CYP3A4 inhibitor,Cimetidine
DG00017,dgroup,DG01522,CYP3A4 inhibitor,Cimetidine
DG00018,dgroup,DG01975,Agents for peptic ulcer,Ranitidine
DG00018,dgroup,DG01481,Histamine receptor H2 antagonist,Ranitidine
DG00018,dgroup,DG01645,CYP2D6 inhibitor,Ranitidine
DG00018,dgroup,DG02852,CYP3A/CYP3A4 inhibitor,Ranitidine
DG00018,dgroup,DG02854,SLC22A2 substrate,Ranitidine
DG00018,dgroup,DG02863,SLC22A2 inhibitor,Ranitidine
DG00019,dgroup,DG01975,Agents for peptic ulcer,Roxatidine
DG00019,dgroup,DG01481,Histamine receptor H2 antagonist,Roxatidine
DG00020,dgroup,DG01975,Agents for peptic ulcer,Omeprazole
DG00020,dgroup,DG01646,Proton pump inhibitor (PPI),Omeprazole
DG00020,dgroup,DG01639,CYP2C19 substrate,Omeprazole
DG00020,dgroup,DG01633,CYP3A/CYP3A4 substrate,Omeprazole
DG00020,dgroup,DG02913,CYP3A4 substrate,Omeprazole
DG00021,dgroup,DG01975,Agents for peptic ulcer,Pantoprazole
DG00021,dgroup,DG01646,Proton pump inhibitor (PPI),Pantoprazole
DG00021,dgroup,DG01639,CYP2C19 substrate,Pantoprazole
DG00021,dgroup,DG01633,CYP3A/CYP3A4 substrate,Pantoprazole
DG00021,dgroup,DG02913,CYP3A4 substrate,Pantoprazole
DG00022,dgroup,DG01975,Agents for peptic ulcer,Rabeprazole
DG00022,dgroup,DG01646,Proton pump inhibitor (PPI),Rabeprazole
DG00022,dgroup,DG01639,CYP2C19 substrate,Rabeprazole
DG00022,dgroup,DG01633,CYP3A/CYP3A4 substrate,Rabeprazole
DG00022,dgroup,DG02913,CYP3A4 substrate,Rabeprazole
DG00023,dgroup,DG01975,Agents for peptic ulcer,Esomeprazole
DG00023,dgroup,DG01646,Proton pump inhibitor (PPI),Esomeprazole
DG00023,dgroup,DG01639,CYP2C19 substrate,Esomeprazole
DG00023,dgroup,DG01633,CYP3A/CYP3A4 substrate,Esomeprazole
DG00023,dgroup,DG02913,CYP3A4 substrate,Esomeprazole
DG00025,dgroup,DG01975,Agents for peptic ulcer,Sucralfate
DG00025,dgroup,DG02008,Gastric mucosal protectant,Sucralfate
DG00026,dgroup,DG01491,Muscarinic cholinergic receptor antagonist,Pirenzepine
DG00026,dgroup,DG01975,Agents for peptic ulcer,Pirenzepine
DG00028,dgroup,DG01975,Agents for peptic ulcer,Alginic acid
DG00028,dgroup,DG02008,Gastric mucosal protectant,Alginic acid
DG00029,dgroup,DG01491,Muscarinic cholinergic receptor antagonist,Oxyphencyclimine
DG00030,dgroup,DG01491,Muscarinic cholinergic receptor antagonist,Mebeverine
DG00031,dgroup,DG01587,Opioid receptor agonist/antagonist,Trimebutine
DG00032,dgroup,DG01491,Muscarinic cholinergic receptor antagonist,Dicycloverine
DG00033,dgroup,DG01491,Muscarinic cholinergic receptor antagonist,Dihexyverine
DG00034,dgroup,DG01491,Muscarinic cholinergic receptor antagonist,Piperidolate
DG00034,dgroup,DG01975,Agents for peptic ulcer,Piperidolate
DG00035,dgroup,DG01491,Muscarinic cholinergic receptor antagonist,Propantheline
DG00035,dgroup,DG01975,Agents for peptic ulcer,Propantheline
DG00036,dgroup,DG01491,Muscarinic cholinergic receptor antagonist,Methantheline
DG00037,dgroup,DG01491,Muscarinic cholinergic receptor antagonist,Tridihexethyl
DG00038,dgroup,DG01491,Muscarinic cholinergic receptor antagonist,Isopropamide
DG00039,dgroup,DG01491,Muscarinic cholinergic receptor antagonist,Hexocyclium
DG00040,dgroup,DG01491,Muscarinic cholinergic receptor antagonist,Mepenzolate
DG00041,dgroup,DG01491,Muscarinic cholinergic receptor antagonist,Timepidium bromide
