disease_id,disease_name,candidate_drug_id,candidate_drug_name,candidate_dgroup_id,shared_gene_count,shared_gene_symbols
H00001,B-cell acute lymphoblastic leukemia,D08279,Tozasertib (USAN),DG01365,2,ABL1; FLT3
H00001,B-cell acute lymphoblastic leukemia,D08344,Tozasertib lactate (USAN),DG01365,2,ABL1; FLT3
H00001,B-cell acute lymphoblastic leukemia,D11600,Zotiraciclib citrate (USAN),DG03058,2,CDK9; FLT3
H00001,B-cell acute lymphoblastic leukemia,D11599,Zotiraciclib (USAN),DG03058,2,CDK9; FLT3
H00001,B-cell acute lymphoblastic leukemia,D12552,Bocodepsin besylate (USAN),DG03260,2,HDAC1; HDAC2
H00001,B-cell acute lymphoblastic leukemia,D09641,Mocetinostat (USAN/INN),DG01404,2,HDAC1; HDAC2
H00001,B-cell acute lymphoblastic leukemia,D10321,Quisinostat (USAN/INN),DG01407,2,HDAC1; HDAC2
H00001,B-cell acute lymphoblastic leukemia,D10319,Panobinostat (USAN/INN),DG01403,2,HDAC1; HDAC2
H00001,B-cell acute lymphoblastic leukemia,D09338,Entinostat (JAN/USAN/INN),,2,HDAC1; HDAC2
H00001,B-cell acute lymphoblastic leukemia,D10322,Quisinostat hydrochloride (USAN),DG01407,2,HDAC1; HDAC2
H00001,B-cell acute lymphoblastic leukemia,D11182,Tinostamustine (USAN/INN),,2,HDAC1; HDAC2
H00001,B-cell acute lymphoblastic leukemia,D08870,Belinostat (USAN/INN),,2,HDAC1; HDAC2
H00001,B-cell acute lymphoblastic leukemia,D11319,Fimepinostat (USAN/INN),,2,HDAC1; HDAC2
H00001,B-cell acute lymphoblastic leukemia,D10019,Panobinostat lactate (JAN),DG01403,2,HDAC1; HDAC2
H00001,B-cell acute lymphoblastic leukemia,D10060,Abexinostat (USAN),DG01402,2,HDAC1; HDAC2
H00002,T-cell acute lymphoblastic leukemia,D04131,Farampator (USAN/INN),,1,GRIA3
H00002,T-cell acute lymphoblastic leukemia,D06656,Tezampanel (USAN),,1,GRIA3
H00002,T-cell acute lymphoblastic leukemia,D10109,Dasolampanel etibutil tosylate (USAN),,1,GRIA3
H00002,T-cell acute lymphoblastic leukemia,D08964,Perampanel (USAN),DG01901,1,GRIA3
H00002,T-cell acute lymphoblastic leukemia,D10108,Dasolampanel etibutil (USAN),,1,GRIA3
H00002,T-cell acute lymphoblastic leukemia,D10780,Perampanel hydrate (JAN),DG01901,1,GRIA3
H00002,T-cell acute lymphoblastic leukemia,D09035,Zonampanel (INN/USAN),,1,GRIA3
H00002,T-cell acute lymphoblastic leukemia,D02696,Talampanel (INN),,1,GRIA3
H00002,T-cell acute lymphoblastic leukemia,D10107,Dasolampanel (USAN/INN),,1,GRIA3
H00002,T-cell acute lymphoblastic leukemia,D11414,Troriluzole (USAN),DG03011,1,GRIA3
H00002,T-cell acute lymphoblastic leukemia,D00537,Topiramate (JAN/USP/INN),,1,GRIA3
H00002,T-cell acute lymphoblastic leukemia,D11415,Troriluzole hydrochloride (USAN),DG03011,1,GRIA3
H00002,T-cell acute lymphoblastic leukemia,D00775,Riluzole (JAN/USP/INN),,1,GRIA3
H00002,T-cell acute lymphoblastic leukemia,D09931,Mibampator (USAN/INN),,1,GRIA3
H00002,T-cell acute lymphoblastic leukemia,D12239,Pesampator (USAN),,1,GRIA3
H00003,Acute myeloid leukemia,D06272,Sorafenib tosylate (USAN),DG00713,4,BRAF; FLT3; KIT; RAF1
H00003,Acute myeloid leukemia,D08524,Sorafenib (USAN/INN),DG00713,4,BRAF; FLT3; KIT; RAF1
H00003,Acute myeloid leukemia,D12476,Tuspetinib (USAN/INN),,3,FLT3; JAK2; KIT
H00003,Acute myeloid leukemia,D06402,Sunitinib malate (JAN/USAN),DG00712,3,CSF1R; FLT3; KIT
H00003,Acute myeloid leukemia,D08552,Sunitinib (INN),DG00712,3,CSF1R; FLT3; KIT
H00003,Acute myeloid leukemia,D10138,Regorafenib (USAN/INN),DG00720,3,BRAF; KIT; RAF1
H00003,Acute myeloid leukemia,D10137,Regorafenib hydrate (JAN),DG00720,3,BRAF; KIT; RAF1
H00003,Acute myeloid leukemia,D11270,Pexidartinib (USAN/INN),DG02960,3,CSF1R; FLT3; KIT
H00003,Acute myeloid leukemia,D11271,Pexidartinib hydrochloride (JAN/USAN),DG02960,3,CSF1R; FLT3; KIT
H00003,Acute myeloid leukemia,D11409,Miransertib (USAN/INN),DG03026,3,AKT1; AKT2; AKT3
H00003,Acute myeloid leukemia,D10382,Afuresertib hydrochloride (USAN),DG01408,3,AKT1; AKT2; AKT3
H00003,Acute myeloid leukemia,D10674,Uprosertib (USAN/INN),,3,AKT1; AKT2; AKT3
H00003,Acute myeloid leukemia,D11371,Capivasertib (JAN/USAN),,3,AKT1; AKT2; AKT3
H00003,Acute myeloid leukemia,D11508,Miransertib mesylate (USAN),DG03026,3,AKT1; AKT2; AKT3
H00003,Acute myeloid leukemia,D06221,Triciribine phosphate (USAN),,3,AKT1; AKT2; AKT3
H00004,Chronic myeloid leukemia,D11409,Miransertib (USAN/INN),DG03026,3,AKT1; AKT2; AKT3
H00004,Chronic myeloid leukemia,D10382,Afuresertib hydrochloride (USAN),DG01408,3,AKT1; AKT2; AKT3
H00004,Chronic myeloid leukemia,D10674,Uprosertib (USAN/INN),,3,AKT1; AKT2; AKT3
H00004,Chronic myeloid leukemia,D11371,Capivasertib (JAN/USAN),,3,AKT1; AKT2; AKT3
H00004,Chronic myeloid leukemia,D11508,Miransertib mesylate (USAN),DG03026,3,AKT1; AKT2; AKT3
H00004,Chronic myeloid leukemia,D06221,Triciribine phosphate (USAN),,3,AKT1; AKT2; AKT3
H00004,Chronic myeloid leukemia,D10641,Ipatasertib (USAN/INN),DG02851,3,AKT1; AKT2; AKT3
H00004,Chronic myeloid leukemia,D11074,Ipatasertib hydrochloride (JAN),DG02851,3,AKT1; AKT2; AKT3
H00004,Chronic myeloid leukemia,D10381,Afuresertib (USAN/INN),DG01408,3,AKT1; AKT2; AKT3
H00004,Chronic myeloid leukemia,D12291,Tovorafenib (USAN/INN),,3,ARAF; BRAF; RAF1
H00004,Chronic myeloid leukemia,D10584,Buparlisib (USAN/INN),DG01823,3,PIK3CA; PIK3CB; PIK3CD
