entry_id,name,type,definition,class,gene_count,gene_symbols,disease_ids,variant_ids
N00001,EGF-EGFR-RAS-ERK signaling pathway,Reference,EGF -> EGFR -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK -> CCND1,nt06260 Colorectal cancer; nt06263 Hepatocellular carcinoma; nt06265 Bladder cancer; nt06266 Non-small cell lung cancer; nt06268 Melanoma; nt06270 Breast cancer; nt06271 Endometrial cancer; nt06273 Glioma; nt06274 Thyroid cancer; nt06276 Chronic myeloid leukemia; nt06210 ERK signaling; nt06162 Hepatitis B virus (HBV); nt06163 Hepatitis C virus (HCV); nt06170 Influenza A virus (IAV); nt06167 Human cytomegalovirus (HCMV); nt06166 Human papillomavirus (HPV),16,EGF;EGFR;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3;CCND1,,
N00002,BCR-ABL fusion kinase to RAS-ERK signaling pathway,Variant,BCR-ABL -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK,nt06276 Chronic myeloid leukemia; nt06210 ERK signaling,14,ABL1;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3,H00004,25v1;25v2
N00003,Mutation-activated KIT to RAS-ERK signaling pathway,Variant,KIT* -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK,nt06275 Acute myeloid leukemia; nt06210 ERK signaling,14,KIT;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3,H00003,3815v1
N00004,Duplication or mutation-activated FLT3 to RAS-ERK signaling pathway,Variant,FLT3* -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK,nt06275 Acute myeloid leukemia; nt06210 ERK signaling,14,FLT3;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3,H00003,2322v2;2322v1
N00005,Mutation-activated MET to RAS-ERK signaling pathway,Variant,MET* -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK -> CCND1,nt06263 Hepatocellular carcinoma; nt06264 Renal cell carcinoma; nt06210 ERK signaling,15,MET;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3;CCND1,H00048;H00021,4233v1
N00006,Amplified EGFR to RAS-ERK signaling pathway,Variant,EGFR* -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK,nt06265 Bladder cancer; nt06273 Glioma; nt06210 ERK signaling,14,EGFR;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3,H00042;H00022,1956v1
N00007,EML4-ALK fusion kinase to RAS-ERK signaling pathway,Variant,EML4-ALK -> RAS -> RAF -> MEK -> ERK -> CCND1,nt06266 Non-small cell lung cancer; nt06210 ERK signaling,12,ALK;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3;CCND1,H00014,238v1;238v2
N00008,RET fusion kinase to RAS-ERK signaling pathway,Variant,RET* -> RAS -> RAF -> MEK -> ERK,nt06266 Non-small cell lung cancer; nt06274 Thyroid cancer; nt06210 ERK signaling,11,RET;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3,H00032;H00014,5979v1
N00009,TRK fusion kinase to RAS-ERK signaling pathway,Variant,TRK* -> RAS -> RAF -> MEK -> ERK,nt06274 Thyroid cancer; nt06210 ERK signaling,11,NTRK1;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3,H00032,4914v1
N00010,Mutation-inactivated PTCH1 to Hedgehog signaling pathway,Variant,"PTCH1* // SMO -> (SUFU+KIF7) // GLI => (BMP2/4,HHIP,GLI1,PTCH,WNT)",nt06269 Basal cell carcinoma; nt06217 HH signaling,29,PTCH1;SMO;SUFU;KIF7;GLI1;GLI2;GLI3;BMP2;BMP4;HHIP;PTCH2;WNT1;WNT2;WNT2B;WNT3;WNT3A;WNT4;WNT5A;WNT5B;WNT6;WNT7A;WNT7B;WNT8A;WNT8B;WNT9A;WNT9B;WNT10A;WNT10B;WNT16,H00039,5727v1
N00011,Mutation-activated FGFR3 to RAS-ERK signaling pathway,Variant,FGFR3* -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK -> MSK1 -> MYC,nt06265 Bladder cancer; nt06210 ERK signaling,16,FGFR3;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3;RPS6KA5;MYC,H00022,2261v1;2261v2
N00012,Mutation-activated KRAS/NRAS to ERK signaling pathway,Variant,"(KRAS*,NRAS*) -> RAF -> MEK -> ERK -> CCND1",nt06260 Colorectal cancer; nt06261 Gastric cancer; nt06262 Pancreatic cancer; nt06266 Non-small cell lung cancer; nt06268 Melanoma; nt06271 Endometrial cancer; nt06274 Thyroid cancer; nt06275 Acute myeloid leukemia; nt06210 ERK signaling,10,KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3;CCND1,H00020;H00019;H00018;H00032;H00003;H00026;H00014;H00038,3845v1;4893v1
N00013,Mutation-activated BRAF to ERK signaling pathway,Variant,BRAF* -> MEK -> ERK,nt06268 Melanoma; nt06274 Thyroid cancer; nt06210 ERK signaling,5,BRAF;MAP2K1;MAP2K2;MAPK1;MAPK3,H00032;H00038,673v1
N00014,Mutation-activated EGFR to RAS-ERK signaling pathway,Variant,EGFR* -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK -> CCND1,nt06266 Non-small cell lung cancer; nt06210 ERK signaling,15,EGFR;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3;CCND1,H00014,1956v2;1956v3
N00015,PDGF-PDGFR-RAS-ERK signaling pathway,Reference,PDGF -> PDGFR -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK,nt06273 Glioma; nt06210 ERK signaling; nt06166 Human papillomavirus (HPV),17,PDGFA;PDGFB;PDGFRA;PDGFRB;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3,,
N00016,PDGF-overexpression to RAS-ERK signaling pathway,Variant,PDGF* -> PDGFR -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK,nt06273 Glioma; nt06210 ERK signaling,17,PDGFA;PDGFB;PDGFRA;PDGFRB;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3,H00042,5154v1;5155v1
N00017,Mutation-activated SMO to Hedgehog signaling pathway,Variant,"SMO* -> (SUFU+KIF7) // GLI => (BMP2/4,HHIP,GLI1,PTCH,WNT)",nt06269 Basal cell carcinoma; nt06217 HH signaling,29,SMO;SUFU;KIF7;GLI1;GLI2;GLI3;BMP2;BMP4;HHIP;PTCH1;PTCH2;WNT1;WNT2;WNT2B;WNT3;WNT3A;WNT4;WNT5A;WNT5B;WNT6;WNT7A;WNT7B;WNT8A;WNT8B;WNT9A;WNT9B;WNT10A;WNT10B;WNT16,H00039,6608v1
N00018,Amplified PDGFR to RAS-ERK signaling pathway,Variant,PDGFR* -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK,nt06273 Glioma; nt06210 ERK signaling,14,PDGFRA;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3,H00042,5156v1
N00019,FGF-FGFR-RAS-ERK signaling pathway,Reference,FGF -> FGFR -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK,nt06261 Gastric cancer; nt06265 Bladder cancer; nt06270 Breast cancer; nt06210 ERK signaling; nt06361 Hypogonadotropic hypogonadism,35,FGF1;FGF2;FGF3;FGF4;FGF5;FGF6;FGF7;FGF8;FGF9;FGF10;FGF16;FGF17;FGF18;FGF19;FGF20;FGF21;FGF22;FGF23;FGFR1;FGFR2;FGFR3;FGFR4;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3,,
N00020,Amplified FGFR to RAS-ERK signaling pathway,Variant,FGFR* -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK,nt06261 Gastric cancer; nt06270 Breast cancer; nt06210 ERK signaling,15,FGFR1;FGFR2;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3,H00031;H00018,2260v1;2263v1
N00021,EGF-ERBB2-RAS-ERK signaling pathway,Reference,EGF -> (ERBB2+EGFR) -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK,nt06261 Gastric cancer; nt06265 Bladder cancer; nt06270 Breast cancer; nt06210 ERK signaling,16,EGF;ERBB2;EGFR;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3,,
N00022,ERBB2-overexpression to RAS-ERK signaling pathway,Variant,EGF -> (ERBB2*+EGFR) -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK,nt06265 Bladder cancer; nt06266 Non-small cell lung cancer; nt06270 Breast cancer; nt06210 ERK signaling,16,EGF;ERBB2;EGFR;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3,H00022;H00031;H00014,2064v1
N00023,EGF-EGFR-PLCG-ERK signaling pathway,Reference,"EGF -> EGFR -> PLCG -> IP3 -> (Ca2+,DAG) -> PKC -> RAF -> MEK -> ERK -> CCND1",nt06266 Non-small cell lung cancer; nt06220 Calcium signaling,15,EGF;EGFR;PLCG1;PLCG2;PRKCA;PRKCB;PRKCG;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3;CCND1,,
N00024,Mutation-activated EGFR to PLCG-ERK signaling pathway,Variant,"EGFR* -> PLCG -> IP3 -> (Ca2+,DAG) -> PKC -> RAF -> MEK -> ERK -> CCND1",nt06266 Non-small cell lung cancer; nt06220 Calcium signaling,14,EGFR;PLCG1;PLCG2;PRKCA;PRKCB;PRKCG;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3;CCND1,H00014,1956v2;1956v3
N00025,EML4-ALK fusion kinase to PLCG-ERK signaling pathway,Variant,"EML4-ALK -> PLCG -> IP3 -> (Ca2+,DAG) -> PKC -> RAF -> MEK -> ERK -> CCND1",nt06266 Non-small cell lung cancer; nt06220 Calcium signaling,14,ALK;PLCG1;PLCG2;PRKCA;PRKCB;PRKCG;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3;CCND1,H00014,238v1;238v2
N00026,EGF-EGFR-PLCG-CAMK signaling pathway,Reference,EGF -> EGFR -> PLCG -> IP3 -> Ca2+ -> CALM == CAMK,nt06273 Glioma; nt06220 Calcium signaling,15,EGF;EGFR;PLCG1;PLCG2;CALM1;CALM2;CALM3;CAMK1;CAMK1D;CAMK1G;CAMK2A;CAMK2B;CAMK2D;CAMK2G;CAMK4,,
N00027,Amplified EGFR to PLCG-CAMK signaling pathway,Variant,EGFR* -> PLCG -> IP3 -> Ca2+ -> CALM == CAMK,nt06273 Glioma; nt06220 Calcium signaling,14,EGFR;PLCG1;PLCG2;CALM1;CALM2;CALM3;CAMK1;CAMK1D;CAMK1G;CAMK2A;CAMK2B;CAMK2D;CAMK2G;CAMK4,H00042,1956v1
N00028,PDGF-PDGFR-PLCG-CAMK signaling pathway,Reference,PDGF -> PDGFR -> PLCG -> IP3 -> Ca2+ -> CALM == CAMK,nt06273 Glioma; nt06220 Calcium signaling,17,PDGFA;PDGFB;PDGFRA;PDGFRB;PLCG1;PLCG2;CALM1;CALM2;CALM3;CAMK1;CAMK1D;CAMK1G;CAMK2A;CAMK2B;CAMK2D;CAMK2G;CAMK4,,
N00029,Amplified PDGFR to PLCG-CAMK signaling pathway,Variant,PDGFR* -> PLCG -> IP3 -> Ca2+ -> CALM == CAMK,nt06273 Glioma; nt06220 Calcium signaling,14,PDGFRA;PLCG1;PLCG2;CALM1;CALM2;CALM3;CAMK1;CAMK1D;CAMK1G;CAMK2A;CAMK2B;CAMK2D;CAMK2G;CAMK4,H00042,5156v1
N00030,EGF-EGFR-RAS-PI3K signaling pathway,Reference,EGF -> EGFR -> GRB2 -> SOS -> RAS -> PI3K -> PIP3 -> AKT -| BAD,nt06114 PI3K signaling (viruses); nt06260 Colorectal cancer; nt06268 Melanoma; nt06214 PI3K signaling; nt06164 Kaposi sarcoma-associated herpesvirus (KSHV),15,EGF;EGFR;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;BAD,,
N00031,Duplication or mutation-activated FLT3 to RAS-PI3K signaling pathway,Variant,FLT3* -> GRB2 -> SOS -> RAS -> PI3K -> PIP3 -> AKT -| BAD,nt06275 Acute myeloid leukemia; nt06214 PI3K signaling,14,FLT3;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;BAD,H00003,2322v2;2322v1
N00032,Mutation-activated KRAS/NRAS to PI3K signaling pathway,Variant,"(KRAS*,NRAS*) -> PI3K -> PIP3 -> AKT -| BAD",nt06260 Colorectal cancer; nt06262 Pancreatic cancer; nt06266 Non-small cell lung cancer; nt06268 Melanoma; nt06275 Acute myeloid leukemia; nt06214 PI3K signaling,9,KRAS;NRAS;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;BAD,H00020;H00019;H00003;H00014;H00038,3845v1;4893v1
N00033,EGF-EGFR-PI3K signaling pathway,Reference,EGF -> EGFR -> PI3K -> PIP3 -> AKT -| BAD,nt06114 PI3K signaling (viruses); nt06260 Colorectal cancer; nt06263 Hepatocellular carcinoma; nt06266 Non-small cell lung cancer; nt06270 Breast cancer; nt06273 Glioma; nt06276 Chronic myeloid leukemia; nt06214 PI3K signaling; nt06162 Hepatitis B virus (HBV); nt06163 Hepatitis C virus (HCV); nt06170 Influenza A virus (IAV); nt06165 Epstein-Barr virus (EBV); nt06166 Human papillomavirus (HPV),9,EGF;EGFR;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;BAD,,
N00034,ERBB2-overexpression to PI3K signaling pathway,Variant,EGF -> (ERBB2*+EGFR) -> PI3K -> PIP3 -> AKT -> MTOR -> S6K,nt06262 Pancreatic cancer; nt06270 Breast cancer; nt06214 PI3K signaling,12,EGF;ERBB2;EGFR;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;MTOR;RPS6KB1;RPS6KB2,H00031;H00019,2064v1
N00035,Amplified EGFR to PI3K signaling pathway,Variant,EGFR* -> PI3K -> PIP3 -> AKT -> MTOR,nt06273 Glioma; nt06214 PI3K signaling,8,EGFR;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;MTOR,H00042,1956v1
N00036,Mutation-activated EGFR to PI3K signaling pathway,Variant,EGFR* -> PI3K -> PIP3 -> AKT -| BAD,nt06266 Non-small cell lung cancer; nt06214 PI3K signaling,8,EGFR;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;BAD,H00014,1956v2;1956v3
N00037,FGF-FGFR-PI3K signaling pathway,Reference,FGF -> FGFR -> PI3K -> PIP3 -> AKT -> MTOR -> S6K,nt06261 Gastric cancer; nt06270 Breast cancer; nt06214 PI3K signaling,31,FGF1;FGF2;FGF3;FGF4;FGF5;FGF6;FGF7;FGF8;FGF9;FGF10;FGF16;FGF17;FGF18;FGF19;FGF20;FGF21;FGF22;FGF23;FGFR1;FGFR2;FGFR3;FGFR4;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;MTOR;RPS6KB1;RPS6KB2,,
N00038,Amplified FGFR to PI3K signaling pathway,Variant,FGFR* -> PI3K -> PIP3 -> AKT -> MTOR,nt06261 Gastric cancer; nt06270 Breast cancer; nt06214 PI3K signaling,9,FGFR1;FGFR2;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;MTOR,H00031;H00018,2260v1;2263v1
N00039,PDGF-PDGFR-PI3K signaling pathway,Reference,PDGF -> PDGFR -> PI3K -> PIP3 -> AKT -> MTOR -> S6K,nt06114 PI3K signaling (viruses); nt06273 Glioma; nt06214 PI3K signaling; nt06167 Human cytomegalovirus (HCMV); nt06166 Human papillomavirus (HPV),13,PDGFA;PDGFB;PDGFRA;PDGFRB;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;MTOR;RPS6KB1;RPS6KB2,,
N00040,Amplified PDGFR to PI3K signaling pathway,Variant,PDGFR* -> PI3K -> PIP3 -> AKT -> MTOR,nt06273 Glioma; nt06214 PI3K signaling,8,PDGFRA;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;MTOR,H00042,5156v1
N00041,EGFR-overexpression to RAS-ERK signaling pathway,Variant,EGFR* -> GRB2 -> SOS -> RAS -> RAF -> MEK -> ERK,nt06260 Colorectal cancer; nt06265 Bladder cancer; nt06266 Non-small cell lung cancer; nt06270 Breast cancer; nt06273 Glioma; nt06210 ERK signaling,14,EGFR;GRB2;SOS1;SOS2;HRAS;KRAS;NRAS;ARAF;BRAF;RAF1;MAP2K1;MAP2K2;MAPK1;MAPK3,H00020;H00042;H00022;H00031;H00014,1956v4
N00042,EGFR-overexpression to PI3K signaling pathway,Variant,EGFR* -> PI3K -> PIP3 -> AKT -> MTOR -> S6K,nt06260 Colorectal cancer; nt06270 Breast cancer; nt06273 Glioma; nt06214 PI3K signaling,10,EGFR;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;MTOR;RPS6KB1;RPS6KB2,H00020;H00042;H00031,1956v4
N00043,HGF-MET-PI3K signaling pathway,Reference,HGF -> MET -> GAB1 -> PI3K -> PIP3 -> AKT -| BAD,nt06261 Gastric cancer; nt06263 Hepatocellular carcinoma; nt06264 Renal cell carcinoma; nt06266 Non-small cell lung cancer; nt06214 PI3K signaling,10,HGF;MET;GAB1;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;BAD,,
N00044,Mutation-activated MET to PI3K signaling pathway,Variant,MET* -> GAB1 -> PI3K -> PIP3 -> AKT -| BAD,nt06263 Hepatocellular carcinoma; nt06264 Renal cell carcinoma; nt06214 PI3K signaling,9,MET;GAB1;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;BAD,H00048;H00021,4233v1
N00045,KITLG-KIT-PI3K signaling pathway,Reference,KITLG -> KIT -> PI3K -> PIP3 -> AKT -> MTOR -> S6K,nt06275 Acute myeloid leukemia; nt06214 PI3K signaling,11,KITLG;KIT;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;MTOR;RPS6KB1;RPS6KB2,,
N00046,Mutation-activated KIT to PI3K signaling pathway,Variant,KIT* -> PI3K -> PIP3 -> AKT -| BAD,nt06275 Acute myeloid leukemia; nt06214 PI3K signaling,8,KIT;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;BAD,H00003,3815v1
N00047,EML4-ALK fusion kinase to PI3K signaling pathway,Variant,EML4-ALK -> PI3K -> PIP3 -> AKT -| BAD,nt06266 Non-small cell lung cancer; nt06214 PI3K signaling,8,ALK;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;BAD,H00014,238v1;238v2
N00048,BCR-ABL fusion kinase to PI3K signaling pathway,Variant,BCR-ABL -> (CRKL+CBL+CRK) -> PI3K -> PIP3 -> AKT -| BAD,nt06276 Chronic myeloid leukemia; nt06214 PI3K signaling,11,ABL1;CRKL;CBL;CRK;PIK3CA;PIK3CB;PIK3CD;AKT1;AKT2;AKT3;BAD,H00004,25v1;25v2
N00049,Mutation-activated PI3K to PI3K signaling pathway,Variant,PI3K* -> PIP3 -> AKT -> MTOR -> S6K,nt06263 Hepatocellular carcinoma; nt06270 Breast cancer; nt06214 PI3K signaling,7,PIK3CA;AKT1;AKT2;AKT3;MTOR;RPS6KB1;RPS6KB2,H00048;H00031,5290v1
N00050,Amplified PI3K to PI3K signaling pathway,Variant,PI3K* -> PIP3 -> AKT -> MTOR -> S6K,nt06270 Breast cancer; nt06214 PI3K signaling,7,PIK3CA;AKT1;AKT2;AKT3;MTOR;RPS6KB1;RPS6KB2,H00031,5290v2
N00051,Deleted PTEN to PI3K signaling pathway,Variant,PTEN* // PIP3 -> AKT,nt06267 Small cell lung cancer; nt06268 Melanoma; nt06273 Glioma; nt06214 PI3K signaling,4,PTEN;AKT1;AKT2;AKT3,H00042;H00038;H00013,5728v1
