entry_id,name,type,class,member_count,member_ids,atc_codes,comment
DG00001,Chlorhexidine,Chemical,,5,D07668;D00858;D01345;D03463;D07669,A01AB03 B05CA02 D08AC02 D09AA12 R02AA05 S01AX09 S02AA09 S03AA04,
DG00002,Oxyquinoline,Chemical,,2,D05321;D02414,A01AB07 D08AH03 G01AC30 R02AA14,
DG00003,Neomycin,Chemical,Antibacterial DG01447  Aminoglycoside antibiotic,4,D08260;D01618;D05141;D05142,A01AB08 A07AA01 B05CA09 D06AX04 J01GB05 R02AB01 S01AA03 S02AA07 S03AA01,
DG00004,Miconazole,Chemical,Antifungal DG01883  Imidazole antifungal Metabolizing enzyme inhibitor DG01643  CYP2C9 inhibitor DG02852  CYP3A/CYP3A4 inhibitor,2,D00416;D00882,A01AB09 A07AC01 D01AC02 G01AF04 J02AB01 S02AA13,
DG00005,Tetracycline,Chemical,Antibacterial DG01197  Tetracycline antibiotic,3,D00201;D02122;D06098,A01AB13 D06AA04 J01AA07 S01AA09 S02AA08 S03AA02,
DG00006,Metronidazole,Chemical,Antiparasitic DG01884  Imidazole antiprotozoal Metabolizing enzyme substrate DG01638  CYP2A6 substrate Metabolizing enzyme inhibitor DG01643  CYP2C9 inhibitor,4,D00409;D05016;D05017;D08214,A01AB17 D06BX01 G01AF01 J01XD01 P01AB01,
DG00007,Chlortetracycline,Chemical,Antibacterial DG01197  Tetracycline antibiotic,3,D07689;D02255;D03477,A01AB21 D06AA02 J01AA03 S01AA02,
DG00008,Doxycycline,Chemical,Antibacterial DG01197  Tetracycline antibiotic,6,D07876;D00307;D02129;D03903;D03904;D07877,A01AB22 J01AA02,
DG00009,Minocycline,Chemical,Antibacterial DG01197  Tetracycline antibiotic,2,D05045;D00850,A01AB23 D10AF07 J01AA08,
DG00010,Triamcinolone,Chemical,Anti-inflammatory DG01955  Corticosteroid DG02068  Glucocorticoid,5,D00385;D00983;D00984;D00985;D06216,A01AC01 C05AA12 D07AB09 D07XB02 H02AB08 R01AD11 R03BA06 S01BA05,
DG00011,Dexamethasone,Chemical,Anti-inflammatory DG01955  Corticosteroid DG02068  Glucocorticoid Metabolizing enzyme substrate DG01633  CYP3A/CYP3A4 substrate DG02913  CYP3A4 substrate Metabolizing enzyme inducer DG02853  CYP3A/CYP3A4 inducer DG01635  CYP3A4 inducer,17,D00292;D00975;D01510;D01615;D01632;D01948;D02174;D02591;D02592;D07073;D07796;D07797;D07798;D07799;D07800;D07801;D07802,A01AC02 C05AA09 D07AB19 D07XB05 D10AA03 H02AB02 R01AD03 S01BA01 S01CB01 S02BA06 S03BA01,
DG00012,Hydrocortisone,Chemical,Anti-inflammatory DG01955  Corticosteroid DG02068  Glucocorticoid Metabolizing enzyme substrate DG01633  CYP3A/CYP3A4 substrate,12,D00088;D00165;D00976;D00977;D00978;D01442;D01619;D01886;D02288;D04467;D06876;D09796,A01AC03 A07EA02 C05AA01 D07AA02 D07XA01 H02AB09 S01BA02 S01CB03 S02BA01,
DG00013,Epinephrine,Chemical,Cardiovascular agent DG01703  Cardiotonic DG01699  Catecholamine cardiotonic DG01456  Adrenergic receptor agonist DG01951  Catecholamine adrenergic receptor agonist Metabolizing enzyme substrate DG01592  COMT substrate DG02917  MAO substrate,3,D00095;D00996;D02149,A01AD01 B02BC09 C01CA24 R01AA14 R03AA01 S01EA01,
DG00014,Benzydamine,Chemical,Anti-inflammatory DG01504  Nonsteroidal anti-inflammatory drug (NSAID),3,D07516;D01410;D07517,A01AD02 G02CC03 M01AX07 M02AA05 R02AX03,
