entry_id,name,formula,mol_weight,atc_codes,dgroup_id,compound_id,therapeutic_category,efficacy,cas,pubchem,chebi
D00001,"Water (JP18/USP); Purified water (JP18); Purified water in containers (JP18); Water, purified (USP); Sterile purified water in containers (JP18); Water for injection (JP18); Water for injection in containers (JP18); Sterile water (TN)",H2O,18.0153,,,C00001,7131,Pharmaceutic aid (solvent),7732-18-5,7847069,15377
D00002,Nadide (JAN/USAN/INN); Nicotinamide adenine dinucleotide,C21H28N7O14P2,664.433,A11HA01,DG00127,C00003,,Coenzyme,53-84-9,7847070,15846
D00003,Oxygen (JP18/USP),O2,31.9988,V03AN01,DG01164,C00007,7990,Medical gases,7782-44-7,7847071,15379
D00004,Carbon dioxide (JP18/USP); Carbon dioxide (TN),CO2,44.0095,V03AN02,,C00011,7990,Medical gases,124-38-9,7847072,16526
D00005,Flavin adenine dinucleotide (JAN); Adeflavin (TN),C27H33N9O15P2,785.5497,,DG02941,C00016,,Supplement (vitamin B2),146-14-5,7847073,16238
D00006,Pyridoxal phosphate hydrate (JP18); Pyridoxal phosphate monohydrate; Hipyridoxin (TN),C8H10NO6P. H2O,265.1571,A11HA06,DG00132,,3134,Supplement (vitamin B6),41468-25-1,7847074,
D00007,Glutamic acid (USP); L-Glutamic acid (JP18),C5H9NO4,147.1293,,,C00025,,Dietary supplement,56-86-0,7847075,16015
D00008,Hydrogen peroxide (USP); Oxydol (JP18); Oxyfull (TN),H2O2,34.0147,A01AB02 D08AX01 D11AX25 S02AA06,,C00027,2614,Disinfectant (topical),7722-84-1,7847076,16240
D00009,Glucose (JP18); Purified glucose (JP18); D-Glucose,C6H12O6,180.1559,B05CX01 V04CA02 V06DC01,DG00188,C00031,3231,Supplement (nutrient),50-99-7,7847077,4167
D00010,"Acetic acid, glacial (USP); Acetic acid (JP18/NF); Glacial acetic acid (JP18); Acetasol (TN)",C2H4O2,60.052,G01AD02 S02AA10,,C00033,2649 2661 7149 7190,"Antibacterial, Antifungal, Emollient, Pharmaceutic aid (acidifying, flavor, lavage)",64-19-7,7847078,15366
D00011,Glycine (JP18/USP),C2H5NO2,75.0666,B05CX03,,C00037,,Supplement (glycine),56-40-6,7847079,15428
D00012,Alanine (USP); L-Alanine (JP18),C3H7NO2,89.0932,,,C00041,,Supplement (alanine),56-41-7,7847080,16977
D00013,Aspartic acid (USP/INN); L-Aspartic acid (JP18),C4H7NO4,133.1027,,,C00049,,Supplement (amino acid),56-84-8,7847081,17053
D00014,Glutathione (JP18); Glutathione (reduced type); Tathion (TN),C10H17N3O6S,307.3235,V03AB32,DG01158,C00051,1319 3922,Antidote,70-18-8,7847082,16856
D00015,Glutamine (USP); L-Glutamine (JP18); Levoglutamide; Endari (TN); Nutrestore (TN),C5H10N2O3,146.1445,A16AA03,,C00064,2322,"Anti-ulcerative, Dietary supplement",56-85-9,7847083,18050
D00016,Serine (USP); L-Serine (JP18),C3H7NO3,105.0926,,,C00065,,Supplement (serine),56-45-1,7847084,17115
D00017,Formaldehyde (USP); Formalin (JP18),CH2O,30.026,,,C00067,2619 2730 7321,Disinfectant,50-00-0,7847085,16842
D00018,Ascorbic acid (JP18/USP/INN); Ascoltin (TN); Ascorbicap (TN); ASCOR (TN),C6H8O6,176.1241,A11GA01 G01AD03 S01XA15,DG00126,C00072,3140,"Antiscorbutic, Supplement (vitamin C)",50-81-7,7847086,29073
D00019,Methionine (USP); L-Methionine (JP18); L-Methionine Z (TN),C5H11NO2S,149.2113,V03AB26,DG01157,C00073,,Antidote,63-68-3,7847087,16643
