source_type,source_id,target_type,target_id,field
dgroup,DG00001,drug,D07668,MEMBER
dgroup,DG00001,drug,D00858,MEMBER
dgroup,DG00001,drug,D01345,MEMBER
dgroup,DG00001,drug,D03463,MEMBER
dgroup,DG00001,drug,D07669,MEMBER
dgroup,DG00002,drug,D05321,MEMBER
dgroup,DG00002,drug,D02414,MEMBER
dgroup,DG00003,drug,D08260,MEMBER
dgroup,DG00003,drug,D01618,MEMBER
dgroup,DG00003,drug,D05141,MEMBER
dgroup,DG00003,drug,D05142,MEMBER
dgroup,DG00003,dgroup,DG01447,CLASS
dgroup,DG00004,drug,D00416,MEMBER
dgroup,DG00004,drug,D00882,MEMBER
dgroup,DG00004,dgroup,DG01883,CLASS
dgroup,DG00004,dgroup,DG01643,CLASS
dgroup,DG00004,dgroup,DG02852,CLASS
dgroup,DG00005,drug,D00201,MEMBER
dgroup,DG00005,drug,D02122,MEMBER
dgroup,DG00005,drug,D06098,MEMBER
dgroup,DG00005,dgroup,DG01197,CLASS
dgroup,DG00006,drug,D00409,MEMBER
dgroup,DG00006,drug,D05016,MEMBER
dgroup,DG00006,drug,D05017,MEMBER
dgroup,DG00006,drug,D08214,MEMBER
dgroup,DG00006,dgroup,DG01884,CLASS
dgroup,DG00006,dgroup,DG01638,CLASS
dgroup,DG00006,dgroup,DG01643,CLASS
dgroup,DG00007,drug,D07689,MEMBER
dgroup,DG00007,drug,D02255,MEMBER
dgroup,DG00007,drug,D03477,MEMBER
dgroup,DG00007,dgroup,DG01197,CLASS
dgroup,DG00008,drug,D07876,MEMBER
dgroup,DG00008,drug,D00307,MEMBER
dgroup,DG00008,drug,D02129,MEMBER
dgroup,DG00008,drug,D03903,MEMBER
dgroup,DG00008,drug,D03904,MEMBER
dgroup,DG00008,drug,D07877,MEMBER
dgroup,DG00008,dgroup,DG01197,CLASS
dgroup,DG00009,drug,D05045,MEMBER
dgroup,DG00009,drug,D00850,MEMBER
dgroup,DG00009,dgroup,DG01197,CLASS
dgroup,DG00010,drug,D00385,MEMBER
dgroup,DG00010,drug,D00983,MEMBER
dgroup,DG00010,drug,D00984,MEMBER
