root_category,descendant_dgroup_count,unique_drug_count
Metabolizing enzyme substrate,364,1155
Neuropsychiatric agent,371,1020
Cardiovascular agent,288,803
Antibacterial,253,680
Antineoplastic,181,608
Anti-inflammatory,102,442
Gastrointestinal agent,103,340
Hormonal agent,81,283
Antiviral,64,240
Metabolizing enzyme inhibitor,79,236
Blood modifier agent,62,232
Antidiabetic agent,45,187
Anti-allergic agent,63,185
Transporter substrate,63,175
Analgesic,60,157
Musculo-skeletal system agent,41,125
Transporter inhibitor,38,110
Immunological agent,10,91
Metabolizing enzyme inducer,23,84
Hypolipidemic agent,19,77
Ophthalmic agent,24,72
Dermatological agent,1,65
Antifungal,17,60
Vitamin and mineral,12,46
Respiratory system agent,12,43
Antiparasitic,5,34
Vaccine,4,34
Transporter inducer,6,11
Unclassified,3,3
