disease_a_id,disease_a_name,disease_b_id,disease_b_name,shared_network_count,shared_gene_count,shared_networks
H00008,Burkitt lymphoma,H00054,Nasopharyngeal cancer,30,1,EBV EBNA1 to p53-mediated transcription; EBV EBNALP RBP-Jk-mediated transcription; EBV EBNA2 to RBP-Jk-mediated transcript…; EBV EBNA3A/3B/3C to RBP-Jk-mediated tra…; EBV EBNA3C to intrinsic apoptotic pathw…; EBV EBNA3C to p53-mediated transcription; EBV EBNA3C to p27-Cell cycle G1/S; EBV LMP1 to NFKB signaling pathway; EBV LMP2A to PI3K signaling pathway; EBV BPLF1 to TLR2/4-NFKB signaling path…; EBV BPLF1 to TLR2/4-NFKB signaling path…; EBV BPLF1 to TLR2/4-NFKB signaling path…; EBV BGLF4 to RIG-I-like receptor signal…; EBV LMP2A/2B to IFN signaling pathway; EBV LMP1 to IFN signaling pathway; EBV BGLF4 to IFN signaling pathway; EBV BHRF1 to intrinsic apoptotic pathway; EBV BHRF1 to intrinsic apoptotic pathway; EBV BHRF1 to intrinsic apoptotic pathway; EBV BHRF1 to crosstalk between extrinsi…; EBV BARF1 to intrinsic apoptotic pathway; EBV BNLF2a to antigen processing and pr…; EBV BILF1 to antigen processing and pre…; EBV BZLF1 to p53-mediated transcription; EBV EBNA3C to p27-Cell cycle G1/S; EBV EBNA3C to cell cycle G1/S; EBV EBNA3C to cell cycle G1/S; EBV LMP1 to PI3K signaling pathway; EBV LMP1 to Jak-STAT signaling pathway; EBV LMP2A to BCR signaling pathway
H00277,Enterohemorrhagic Escherichia coli (EHEC) infection,H00278,Enteropathogenic Escherichia coli (EPEC) infection,30,0,Escherichia Tir to TLR2/4-MAPK signalin…; Escherichia/Shigella NleE/OspZ to TNF-N…; Escherichia NleB to TNF-NFKB signaling …; Escherichia NleC to TNF-NFKB signaling …; Escherichia NleD to TNF-JNK signaling p…; Escherichia NleD to TNF-p38 signaling p…; Escherichia NleH1 to TNF-NFKB signaling…; Escherichia NleA to NLRP3 inflammasome …; Escherichia NleF to non-canonical infla…; Escherichia NleB1 to crosstalk between …; Escherichia NleF to extrinsic apoptotic…; Escherichia NleH to intrinsic apoptotic…; Escherichia EspF to intrinsic apoptotic…; Escherichia EspG to ARNO-ARF-ACTB/G sig…; Escherichia EspG to ARNO-ARF-ACTB/G sig…; Escherichia EspT to RAC signaling pathw…; Escherichia EspW to RAC signaling pathw…; Escherichia EspH to LPA-GNA12/13-RhoA s…; Escherichia EspM to LPA-GNA12/13-Rho si…; Escherichia EspJ to IGG-FCGR-RAC signal…; Escherichia Eae/Tir to Actin signaling …; Escherichia EspJ/Tir to Actin signaling…; Escherichia Eae/Tir/TccP to Actin signa…; Escherichia Map to LPA-GNA12/13-RhoA si…; Escherichia Map to CDC42 signaling path…; Escherichia EspG to Microtubule-RHOA si…; Escherichia EspF to Tight junction-Acti…; Escherichia NleA to COPII vesicle forma…; Escherichia EspG to RAB1 signaling path…; Escherichia NleF to COPI vesicle format…
H00007,Hodgkin lymphoma,H00054,Nasopharyngeal cancer,30,0,EBV EBNA1 to p53-mediated transcription; EBV EBNALP RBP-Jk-mediated transcription; EBV EBNA2 to RBP-Jk-mediated transcript…; EBV EBNA3A/3B/3C to RBP-Jk-mediated tra…; EBV EBNA3C to intrinsic apoptotic pathw…; EBV EBNA3C to p53-mediated transcription; EBV EBNA3C to p27-Cell cycle G1/S; EBV LMP1 to NFKB signaling pathway; EBV LMP2A to PI3K signaling pathway; EBV BPLF1 to TLR2/4-NFKB signaling path…; EBV BPLF1 to TLR2/4-NFKB signaling path…; EBV BPLF1 to TLR2/4-NFKB signaling path…; EBV BGLF4 to RIG-I-like receptor signal…; EBV LMP2A/2B to IFN signaling pathway; EBV LMP1 to IFN signaling pathway; EBV BGLF4 to IFN signaling pathway; EBV BHRF1 to intrinsic apoptotic pathway; EBV BHRF1 to intrinsic apoptotic pathway; EBV BHRF1 to intrinsic apoptotic pathway; EBV BHRF1 to crosstalk between extrinsi…; EBV BARF1 to intrinsic apoptotic pathway; EBV BNLF2a to antigen processing and pr…; EBV BILF1 to antigen processing and pre…; EBV BZLF1 to p53-mediated transcription; EBV EBNA3C to p27-Cell cycle G1/S; EBV EBNA3C to cell cycle G1/S; EBV EBNA3C to cell cycle G1/S; EBV LMP1 to PI3K signaling pathway; EBV LMP1 to Jak-STAT signaling pathway; EBV LMP2A to BCR signaling pathway
H00007,Hodgkin lymphoma,H00008,Burkitt lymphoma,30,0,EBV EBNA1 to p53-mediated transcription; EBV EBNALP RBP-Jk-mediated transcription; EBV EBNA2 to RBP-Jk-mediated transcript…; EBV EBNA3A/3B/3C to RBP-Jk-mediated tra…; EBV EBNA3C to intrinsic apoptotic pathw…; EBV EBNA3C to p53-mediated transcription; EBV EBNA3C to p27-Cell cycle G1/S; EBV LMP1 to NFKB signaling pathway; EBV LMP2A to PI3K signaling pathway; EBV BPLF1 to TLR2/4-NFKB signaling path…; EBV BPLF1 to TLR2/4-NFKB signaling path…; EBV BPLF1 to TLR2/4-NFKB signaling path…; EBV BGLF4 to RIG-I-like receptor signal…; EBV LMP2A/2B to IFN signaling pathway; EBV LMP1 to IFN signaling pathway; EBV BGLF4 to IFN signaling pathway; EBV BHRF1 to intrinsic apoptotic pathway; EBV BHRF1 to intrinsic apoptotic pathway; EBV BHRF1 to intrinsic apoptotic pathway; EBV BHRF1 to crosstalk between extrinsi…; EBV BARF1 to intrinsic apoptotic pathway; EBV BNLF2a to antigen processing and pr…; EBV BILF1 to antigen processing and pre…; EBV BZLF1 to p53-mediated transcription; EBV EBNA3C to p27-Cell cycle G1/S; EBV EBNA3C to cell cycle G1/S; EBV EBNA3C to cell cycle G1/S; EBV LMP1 to PI3K signaling pathway; EBV LMP1 to Jak-STAT signaling pathway; EBV LMP2A to BCR signaling pathway
H00013,Small cell lung cancer,H00014,Non-small cell lung cancer,25,3,Mutation-inactivated TP53 to transcript…; NNK/NNN to RAS-ERK signaling pathway; Nicotine/NNK to cAMP signaling pathway; Nicotine/NNK to PI3K signaling pathway; Arsenic to PI3K signaling pathway; MeIQx to DNA adducts; BaP to DNA adducts; AFB1 to DNA adducts; NNK to DNA adducts; NNK to DNA adducts; NNK to DNA adducts; NNK to DNA adducts; SM to DNA adducts/cross-links; Arsenic to electron transfer in complex…; Arsenic to electron transfer in complex…; Arsenic to electron transfer in complex…; Cadmium to electron transfer in complex…; Benzo[a]pyrenre to CYP-mediated metabol…; Metals to JNK signaling pathway; Metals to RAS-ERK signaling pathway; Metals to PI3K signaling pathway; Metals to NFKB signaling pathway; Metals to NFKB signaling pathway; Metals to HTF-1 signaling pathway; Metals to KEAP1-NRF2 signalig pathway
H00297,Plague,H00298,Yersiniosis,18,0,Yersinia YopP/J to TLR2/4-NFKB signalin…; Yersinia YopP/J to TLR2/4-MAPK signalin…; Yersinia YopM to NLRP3 Inflammasome sig…; Yersinia YopK to NLRP3 Inflammasome sig…; Yersinia YopK to NLRC4 Inflammasome sig…; Yersinia YopM to Pyrin Inflammasome sig…; Yersinia YopT to ITGA/B-RhoGEF-RhoA sig…; Yersinia YopE to RhoA signaling pathway; Yersinia YopE to ITGA/B-RHOG-RAC signal…; Yersinia YopT to ITGA/B-RHOG-RAC signal…; Yersinia YopE to ITGA/B-RHOG-RAC signal…; Yersinia YpkA to IGG-FCGR-RAC signaling…; Yersinia YpkA to LPA-GNAQ-RhoA signalin…; Yersinia YopH to TCR-NFAT signaling pat…; Yersinia YopH to TCR-NFAT signaling pat…; Yersinia YopH to ITGA/B-FAK-RAC signali…; Yersinia YopH to ITGA/B-FAK-RAC signali…; Yersinia YopH to ITGA/B-FAK-RAC signali…
H00292,Hypertrophic cardiomyopathy,H00294,Dilated cardiomyopathy,0,18,
H01102,Pituitary adenomas,H01431,Cushing syndrome,7,9,Mutation-inactivated MEN1 to transcript…; Mutation-inactivated AIP to AhR-mediate…; Mutation-inactivated CDKN1B to p27-cell…; Mutation-activated USP8 to EGFR-ERK-ACT…; Mutation-inactivated RASD1 to CRHR-PKA-…; Mutation-activated GNAS to CRHR-PKA-ACT…; Mutation-inactivated PRKAR1A to CRHR-PK…
H00013,Small cell lung cancer,H00048,Hepatocellular carcinoma,11,4,Mutation-inactivated PTEN to PI3K signa…; Loss of RB1 to cell cycle G1/S; Mutation-inactivated TP53 to transcript…; AFB1 to DNA adducts; Metals to JNK signaling pathway; Metals to RAS-ERK signaling pathway; Metals to PI3K signaling pathway; Metals to NFKB signaling pathway; Metals to NFKB signaling pathway; Metals to HTF-1 signaling pathway; Metals to KEAP1-NRF2 signalig pathway
H00014,Non-small cell lung cancer,H00048,Hepatocellular carcinoma,11,4,Mutation-inactivated TP53 to transcript…; TCDD to Ahr signaling pathway; BaP to Ahr signaling pathway; AFB1 to DNA adducts; Metals to JNK signaling pathway; Metals to RAS-ERK signaling pathway; Metals to PI3K signaling pathway; Metals to NFKB signaling pathway; Metals to NFKB signaling pathway; Metals to HTF-1 signaling pathway; Metals to KEAP1-NRF2 signalig pathway
H00604,"Deafness, autosomal dominant",H00605,"Deafness, autosomal recessive",0,14,
H00120,Muscular dystrophy-dystroglycanopathy type A,H02307,Muscular dystrophy-dystroglycanopathy,0,14,
H02410,Myelodysplastic/myeloproliferative neoplasms,H02412,Atypical chronic myeloid leukemia,0,13,
H02410,Myelodysplastic/myeloproliferative neoplasms,H02411,Chronic myelomonocytic leukemia,0,13,
H00069,Glycogen storage disease,H01762,Muscle glycogen storage disease,0,13,
H01481,Myelodysplastic syndrome,H02410,Myelodysplastic/myeloproliferative neoplasms,0,12,
H00205,Peroxisome biogenesis disorder,H01342,Zellweger syndrome,0,12,
H00473,Mitochondrial complex I deficiency,H01354,Leigh syndrome,0,11,
H00261,Meckel syndrome,H00530,Joubert syndrome and related disorders,0,11,
H00022,Bladder cancer,H00042,Glioma,6,5,Amplified EGFR to RAS-ERK signaling pat…; EGFR-overexpression to RAS-ERK signalin…; Deleted p14(ARF) to p21-cell cycle G1/S; Deleted p16(INK4a) to p16-cell cycle G1…; Loss of RB1 to cell cycle G1/S; Mutation-inactivated TP53 to transcript…
H01481,Myelodysplastic syndrome,H02411,Chronic myelomonocytic leukemia,0,11,
H00177,Neonatal adrenoleukodystrophy,H00205,Peroxisome biogenesis disorder,0,11,
H02411,Chronic myelomonocytic leukemia,H02412,Atypical chronic myeloid leukemia,0,10,
H00038,Melanoma,H00042,Glioma,5,5,Deleted PTEN to PI3K signaling pathway; Mutation-inactivated PTEN to PI3K signa…; Deleted p14(ARF) to p21-cell cycle G1/S; Deleted p16(INK4a) to p16-cell cycle G1…; Mutation-inactivated TP53 to transcript…
H00014,Non-small cell lung cancer,H00022,Bladder cancer,6,4,ERBB2-overexpression to RAS-ERK signali…; EGFR-overexpression to RAS-ERK signalin…; Mutation-inactivated TP53 to transcript…; Arsenic to electron transfer in complex…; Arsenic to electron transfer in complex…; Arsenic to electron transfer in complex…
H00021,Renal cell carcinoma,H00048,Hepatocellular carcinoma,9,1,Mutation-activated MET to RAS-ERK signa…; Mutation-activated MET to PI3K signalin…; Metals to JNK signaling pathway; Metals to RAS-ERK signaling pathway; Metals to PI3K signaling pathway; Metals to NFKB signaling pathway; Metals to NFKB signaling pathway; Metals to HTF-1 signaling pathway; Metals to KEAP1-NRF2 signalig pathway
H00020,Colorectal cancer,H00048,Hepatocellular carcinoma,5,5,"Mutation-activated CTNNB1 to Wnt signal…; Mutation-inactivated TP53 to transcript…; TGFA-overexpression to RAS-ERK signalin…; TGFA-overexpression to PI3K signaling p…; p,p'-DDT to SOD/Cat-mediated ROS neutra…"
H00013,Small cell lung cancer,H00024,Prostate cancer,9,1,Mutation-inactivated PTEN to PI3K signa…; Cadmium to electron transfer in complex…; Metals to JNK signaling pathway; Metals to RAS-ERK signaling pathway; Metals to PI3K signaling pathway; Metals to NFKB signaling pathway; Metals to NFKB signaling pathway; Metals to HTF-1 signaling pathway; Metals to KEAP1-NRF2 signalig pathway
H00018,Gastric cancer,H00020,Colorectal cancer,3,6,Mutation-activated KRAS/NRAS to ERK sig…; Mutation-inactivated APC to Wnt signali…; Mutation-inactivated TP53 to transcript…
H00593,Limb-girdle muscular dystrophy,H02307,Muscular dystrophy-dystroglycanopathy,0,9,
H00177,Neonatal adrenoleukodystrophy,H01342,Zellweger syndrome,0,9,
H00024,Prostate cancer,H00048,Hepatocellular carcinoma,8,1,Mutation-inactivated PTEN to PI3K signa…; Metals to JNK signaling pathway; Metals to RAS-ERK signaling pathway; Metals to PI3K signaling pathway; Metals to NFKB signaling pathway; Metals to NFKB signaling pathway; Metals to HTF-1 signaling pathway; Metals to KEAP1-NRF2 signalig pathway
H00120,Muscular dystrophy-dystroglycanopathy type A,H00593,Limb-girdle muscular dystrophy,0,9,
H00014,Non-small cell lung cancer,H00054,Nasopharyngeal cancer,7,2,Metals to JNK signaling pathway; Metals to RAS-ERK signaling pathway; Metals to PI3K signaling pathway; Metals to NFKB signaling pathway; Metals to NFKB signaling pathway; Metals to HTF-1 signaling pathway; Metals to KEAP1-NRF2 signalig pathway
H00120,Muscular dystrophy-dystroglycanopathy type A,H01959,Muscular dystrophy-dystroglycanopathy type C,0,9,
