disease_id,disease_name,linked_network_count,direct_gene_count,pathway_gene_count
H00058,Amyotrophic lateral sclerosis (ALS),23,26,239
H00048,Hepatocellular carcinoma,87,22,223
H00056,Alzheimer disease,23,6,210
H00014,Non-small cell lung cancer,47,15,201
H00057,Parkinson disease,33,19,188
H00031,Breast cancer,35,28,173
H00013,Small cell lung cancer,34,7,167
H00059,Huntington disease,15,1,166
H00368,Cytomegalovirus infection,34,0,153
H01563,HIV infection,25,17,134
H00054,Nasopharyngeal cancer,37,7,126
H00041,Kaposi sarcoma,36,5,126
H00113,Salmonellosis,27,0,118
H00009,Adult T-cell leukemia,23,3,113
H00030,Cervical cancer,38,7,109
H00606,Early infantile epileptic encephalopathy,0,109,109
H00299,Shigellosis,26,0,98
H00061,Prion disease,9,1,97
H00007,Hodgkin lymphoma,31,5,90
H00277,Enterohemorrhagic Escherichia coli (EHEC) infection,30,0,89
H00278,Enteropathogenic Escherichia coli (EPEC) infection,30,0,89
H00024,Prostate cancer,17,14,89
H00021,Renal cell carcinoma,14,7,88
H00020,Colorectal cancer,26,31,83
H00008,Burkitt lymphoma,31,3,81
H01282,Spermatogenic failure,0,81,81
H00605,"Deafness, autosomal recessive",0,81,81
H00018,Gastric cancer,22,18,79
H00527,Retinitis pigmentosa,0,76,76
H00063,Spinocerebellar ataxia (SCA),17,36,73
H00022,Bladder cancer,19,9,72
H02398,COVID-19,12,0,68
H00042,Glioma,20,15,66
H00266,Hereditary spastic paraplegia,0,63,63
H00773,Autosomal dominant intellectual developmental disorder,1,62,62
H00365,Herpes simplex virus infection,29,0,62
H00003,Acute myeloid leukemia,21,21,61
H00264,Charcot-Marie-Tooth disease,0,61,61
H01431,Cushing syndrome,13,13,60
H00255,Hypogonadotropic hypogonadism,13,27,57
H00019,Pancreatic cancer,10,11,57
H00891,Combined oxidative phosphorylation deficiency,0,55,55
H00768,Autosomal recessive intellectual developmental disorder,0,55,55
H00604,"Deafness, autosomal dominant",0,53,53
H01102,Pituitary adenomas,7,9,51
H00004,Chronic myeloid leukemia,11,5,51
H00294,Dilated cardiomyopathy,0,46,46
H00564,Primary ciliary dyskinesia,0,46,46
H00032,Thyroid cancer,10,12,46
H00473,Mitochondrial complex I deficiency,0,44,44
H00001,B-cell acute lymphoblastic leukemia,3,5,44
H00038,Melanoma,12,12,43
H00530,Joubert syndrome and related disorders,0,40,40
H00039,Basal cell carcinoma,5,5,39
H00398,Influenza,17,0,39
H01202,Cataract,0,38,38
H00026,Endometrial cancer,5,8,38
H02049,Bilateral macronodular adrenal hyperplasia,3,8,37
H00297,Plague,18,0,32
H00602,Glucocorticoid-remediable aldosteronism (GRA),1,2,32
H00298,Yersiniosis,18,0,32
H01891,Autosomal recessive spinocerebellar ataxias,0,31,31
H00593,Limb-girdle muscular dystrophy,0,31,31
H00269,Primary microcephaly,2,30,30
H02463,Syndromic intellectual developmental disorder,0,30,30
H00118,Congenital disorders of glycosylation type I,1,29,29
H00010,Multiple myeloma,3,9,29
H00658,X-linked syndromic intellectual developmental disorder,0,28,28
H01603,Primary aldosteronism,5,6,28
H01439,Williams-Beuren syndrome,0,28,28
H00002,T-cell acute lymphoblastic leukemia,4,10,27
H00480,X-linked intellectual developmental disorder,0,27,27
H00292,Hypertrophic cardiomyopathy,0,27,27
H00394,Measles,13,0,27
H01368,Cytochrome c oxidase (COX) deficiency,0,26,26
H01657,Nephrotic syndrome,0,25,25
H02434,"Diffuse large B-cell lymphoma, not otherwise specified",0,25,25
H00831,Primary dystonia,0,25,25
H00897,Pontocerebellar hypoplasia,0,25,25
H00770,Congenital myasthenic syndrome,0,25,25
H00481,Cone-rod dystrophy and cone dystrophy,0,24,24
H00679,Hypomyelinating leukodystrophy,0,24,24
H02106,Genetic obesity,0,23,23
H00080,Systemic lupus erythematosus,0,23,23
H01557,Hepatic angiosarcoma,2,2,22
H00238,Fanconi anemia,1,22,22
H00119,Congenital disorders of glycosylation type II,1,22,22
H00069,Glycogen storage disease,1,22,22
H01489,Inherited glycosylphosphatidylinositol deficiencies,1,22,22
H00418,Bardet-Biedl syndrome,0,22,22
H00627,Premature ovarian failure,0,21,21
H00408,Type 1 diabetes mellitus,0,21,21
H00837,Leber congenital amaurosis,0,20,20
H00469,Mitochondrial DNA depletion syndrome,0,20,20
H00093,Combined immunodeficiency,0,20,20
H00079,Asthma,0,20,20
H01810,Congenital myopathy,0,20,20
H00537,Nephronophthisis,0,20,20
