variant_id,gene_symbol,gene_description,ko_id
10026v1,PIGK,phosphatidylinositol glycan anchor biosynthesis class K,K05290
100v1,ADA,adenosine deaminase,K01488
10111v1,RAD50,RAD50 double strand break repair protein,K10866
10133v1,OPTN,optineurin,K19946
10195v1,ALG3,"ALG3 alpha-1,3- mannosyltransferase",K03845
1019v1,CDK4,cyclin dependent kinase 4,K02089
1019v2,CDK4,cyclin dependent kinase 4,K02089
10243v1,GPHN,gephyrin,K15376
10274v1,STAG1,stromal antigen 1,K06671
1027v1,CDKN1B,cyclin dependent kinase inhibitor 1B,K06624
1027v2,CDKN1B,cyclin dependent kinase inhibitor 1B,K06624
1027v3,CDKN1B,cyclin dependent kinase inhibitor 1B,K06624
10280v1,SIGMAR1,sigma non-opioid intracellular receptor 1,K20719
10293v1,TRAIP,TRAF interacting protein,K11985
1029v1,CDKN2A,cyclin dependent kinase inhibitor 2A,K06621
1029v2,CDKN2A,cyclin dependent kinase inhibitor 2A,K06621
10329v1,RXYLT1,ribitol xylosyltransferase 1,K21052
10379v1,IRF9,interferon regulatory factor 9,K04693
10381v1,TUBB3,tubulin beta 3 class III,K07375
10382v1,TUBB4A,tubulin beta 4A class IVa,K07375
10383v1,TUBB4B,tubulin beta 4B class IVb,K07375
103v1,ADAR,adenosine deaminase RNA specific,K12968
10459v1,MAD2L2,mitotic arrest deficient 2 like 2,K13728
1045v1,CDX2,caudal type homeobox 2,K22234
10535v1,RNASEH2A,ribonuclease H2 subunit A,K10743
10559v1,SLC35A1,solute carrier family 35 member A1,K15272
10584v1,COLEC10,collectin subfamily member 10,K10065
10585v1,POMT1,protein O-mannosyltransferase 1,K00728
10599v1,SLCO1B1,solute carrier organic anion transporter family member 1B1,K05043
10616v1,RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1,K10630
1062v1,CENPE,centromere protein E,K11498
1063v1,CENPF,centromere protein F,K11499
10641v1,NPRL2,"NPR2 like, GATOR1 complex subunit",K20405
10654v1,PMVK,phosphomevalonate kinase,K13273
10664v1,CTCF,CCCTC-binding factor,K23195
10682v1,EBP,EBP cholestenol delta-isomerase,K01824
10683v1,DLL3,delta like canonical Notch ligand 3,K06051
10735v1,STAG2,stromal antigen 2,K06671
10747v1,MASP2,MBL associated serine protease 2,K03993
1080v1,CFTR,CF transmembrane conductance regulator,K05031
10844v1,TUBGCP2,tubulin gamma complex associated protein 2,K16569
10878v1,CFHR3,complement factor H related 3,K23815
10v1,NAT2,N-acetyltransferase 2,K00622
11041v1,B4GAT1,"beta-1,4-glucuronyltransferase 1",K21032
11186v1,RASSF1,Ras association domain family member 1,K09850
11232v1,POLG2,"DNA polymerase gamma 2, accessory subunit",K02333
11274v1,USP18,ubiquitin specific peptidase 18,K11846
11277v1,TREX1,three prime repair exonuclease 1,K10790
11284v1,PNKP,polynucleotide kinase 3'-phosphatase,K08073
11285v1,B4GALT7,"beta-1,4-galactosyltransferase 7",K00733
11315v1,PARK7,Parkinsonism associated deglycase,K05687
113189v1,CHST14,carbohydrate sulfotransferase 14,K08105
113457v1,TUBA3D,tubulin alpha 3d,K07374
114548v1,NLRP3,NLR family pyrin domain containing 3,K12800
114609v1,TIRAP,TIR domain containing adaptor protein,K05403
116150v1,NUS1,NUS1 dehydrodolichyl diphosphate synthase subunit,K19177
1161v1,ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",K10570
1200v1,TPP1,tripeptidyl peptidase 1,K01279
120227v1,CYP2R1,cytochrome P450 family 2 subfamily R member 1,K07419
120892v1,LRRK2,leucine rich repeat kinase 2,K08844
121278v1,TPH2,tryptophan hydroxylase 2,K00502
1213v1,CLTC,clathrin heavy chain,K04646
126792v1,B3GALT6,"beta-1,3-galactosyltransferase 6",K00734
128674v1,PROKR2,prokineticin receptor 2,K08380
128869v1,PIGU,phosphatidylinositol glycan anchor biosynthesis class U,K05293
130589v1,GALM,galactose mutarotase,K01785
132884v1,EVC2,EvC ciliary complex subunit 2,K19608
134701v1,RIPPLY2,ripply transcriptional repressor 2,
1356v1,CP,ceruloplasmin,K13624
1371v1,CPOX,coproporphyrinogen oxidase,K00228
1373v1,CPS1,carbamoyl-phosphate synthase 1,K01948
1374v1,CPT1A,carnitine palmitoyltransferase 1A,K08765
1376v1,CPT2,carnitine palmitoyltransferase 2,K08766
138050v1,HGSNAT,heparan-alpha-glucosaminide N-acetyltransferase,K10532
1457v1,CSNK2A1,casein kinase 2 alpha 1,K03097
145873v1,MESP2,mesoderm posterior bHLH transcription factor 2,K09076
148022v1,TICAM1,TIR domain containing adaptor molecule 1,K05842
148738v1,HJV,hemojuvelin BMP co-receptor,K23100
148789v1,B3GALNT2,"beta-1,3-N-acetylgalactosaminyltransferase 2",K09654
149233v1,IL23R,interleukin 23 receptor,K05065
1499v1,CTNNB1,catenin beta 1,K02105
151648v1,SGO1,shugoshin 1,K11580
1548v1,CYP2A6,cytochrome P450 family 2 subfamily A member 6,K17683
1555v1,CYP2B6,cytochrome P450 family 2 subfamily B member 6,K17709
1557v1,CYP2C19,cytochrome P450 family 2 subfamily C member 19,K17721
1559v1,CYP2C9,cytochrome P450 family 2 subfamily C member 9,K17719
1565v1,CYP2D6,cytochrome P450 family 2 subfamily D member 6,K17712
157570v1,ESCO2,establishment of sister chromatid cohesion N-acetyltransferase 2,K11268
1577v1,CYP3A5,cytochrome P450 family 3 subfamily A member 5,K17690
1583v1,CYP11A1,cytochrome P450 family 11 subfamily A member 1,K00498
1584v1,CYP11B1,cytochrome P450 family 11 subfamily B member 1,K00497
1585v1,CYP11B2,cytochrome P450 family 11 subfamily B member 2,K07433
1585v2,CYP11B2,cytochrome P450 family 11 subfamily B member 2,K07433
1586v1,CYP17A1,cytochrome P450 family 17 subfamily A member 1,K00512
1588v1,CYP19A1,cytochrome P450 family 19 subfamily A member 1,K07434
1588v2,CYP19A1,cytochrome P450 family 19 subfamily A member 1,K07434
1589v1,CYP21A2,cytochrome P450 family 21 subfamily A member 2,K00513
1593v1,CYP27A1,cytochrome P450 family 27 subfamily A member 1,K00488
1594v1,CYP27B1,cytochrome P450 family 27 subfamily B member 1,K07438
1600v1,DAB1,DAB adaptor protein 1,K20054
1604v1,CD55,CD55 molecule (Cromer blood group),K04006
161742v1,SPRED1,sprouty related EVH1 domain containing 1,K04703
1621v1,DBH,dopamine beta-hydroxylase,K00503
162417v1,NAGS,N-acetylglutamate synthase,K11067
1629v1,DBT,dihydrolipoamide branched chain transacylase E2,K09699
1630v1,DCC,DCC netrin 1 receptor,K06765
1638v1,DCT,dopachrome tautomerase,K01827
1639v1,DCTN1,dynactin subunit 1,K04648
1642v1,DDB1,damage specific DNA binding protein 1,K10610
1643v1,DDB2,damage specific DNA binding protein 2,K10140
1644v1,DDC,dopa decarboxylase,K01593
1649v1,DDIT3,DNA damage inducible transcript 3,K04452
1650v1,DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit,K12670
165918v1,RNF168,ring finger protein 168,K20779
1663v1,DDX11,DEAD/H-box helicase 11,K11273
1675v1,CFD,complement factor D,K01334
1717v1,DHCR7,7-dehydrocholesterol reductase,K00213
1718v1,DHCR24,24-dehydrocholesterol reductase,K09828
1736v1,DKC1,dyskerin pseudouridine synthase 1,K11131
1737v1,DLAT,dihydrolipoamide S-acetyltransferase,K00627
1738v1,DLD,dihydrolipoamide dehydrogenase,K00382
1756v1,DMD,dystrophin,K10366
1763v1,DNA2,DNA replication helicase/nuclease 2,K10742
1773v1,DNASE1,deoxyribonuclease 1,K11994
1776v1,DNASE1L3,deoxyribonuclease 1 like 3,K11995
1777v1,DNASE2,"deoxyribonuclease 2, lysosomal",K01158
1778v1,DYNC1H1,dynein cytoplasmic 1 heavy chain 1,K10413
1781v1,DYNC1I2,dynein cytoplasmic 1 intermediate chain 2,K10415
1789v1,DNMT3B,DNA methyltransferase 3 beta,K17399
178v1,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",K01196
1798v1,DPAGT1,dolichyl-phosphate N-acetylglucosaminephosphotransferase 1,K01001
1806v1,DPYD,dihydropyrimidine dehydrogenase,K00207
1807v1,DPYS,dihydropyrimidinase,K01464
