gene_symbol,gene_description,ko_id,variant_entry_count
ABCB11,ATP binding cassette subfamily B member 11,K05664,1
ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",K06619,2
ACAD8,acyl-CoA dehydrogenase family member 8,K11538,1
ACADM,acyl-CoA dehydrogenase medium chain,K00249,1
ACADS,acyl-CoA dehydrogenase short chain,K00248,1
ACADSB,acyl-CoA dehydrogenase short/branched chain,K09478,1
ACADVL,acyl-CoA dehydrogenase very long chain,K09479,1
ACD,ACD shelterin complex subunit and telomerase recruitment factor,K11114,1
ACO2,aconitase 2,K01681,1
ACOX1,acyl-CoA oxidase 1,K00232,1
ACOX2,acyl-CoA oxidase 2,K10214,1
ACSL4,acyl-CoA synthetase long chain family member 4,K01897,1
ACVR1,activin A receptor type 1,K04675,1
ACVR2B,activin A receptor type 2B,K13596,1
ACVRL1,activin A receptor like type 1,K13594,1
ADA,adenosine deaminase,K01488,1
ADAM17,ADAM metallopeptidase domain 17,K06059,1
ADAR,adenosine deaminase RNA specific,K12968,1
ADPRS,ADP-ribosylserine hydrolase,K11687,1
AFF1,ALF transcription elongation factor 1,K15184,1
AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",K01196,1
AIP,aryl hydrocarbon receptor interacting protein,K17767,1
AKR1D1,aldo-keto reductase family 1 member D1,K00251,1
ALAD,aminolevulinate dehydratase,K01698,1
ALAS2,5'-aminolevulinate synthase 2,K00643,1
ALDH4A1,aldehyde dehydrogenase 4 family member A1,K00294,1
ALDH6A1,aldehyde dehydrogenase 6 family member A1,K00140,1
ALDOA,"aldolase, fructose-bisphosphate A",K01623,1
ALG1,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase,K03842,1
ALG11,"ALG11 alpha-1,2-mannosyltransferase",K03844,1
ALG12,"ALG12 alpha-1,6-mannosyltransferase",K03847,1
ALG13,ALG13 UDP-N-acetylglucosaminyltransferase subunit,K07432,1
ALG2,"ALG2 alpha-1,3/1,6-mannosyltransferase",K03843,1
ALG3,"ALG3 alpha-1,3- mannosyltransferase",K03845,1
ALG6,"ALG6 alpha-1,3-glucosyltransferase",K03848,1
ALG8,"ALG8 alpha-1,3-glucosyltransferase",K03849,1
ALG9,"ALG9 alpha-1,2-mannosyltransferase",K03846,1
ALK,ALK receptor tyrosine kinase,K05119,2
ALPL,"alkaline phosphatase, biomineralization associated",K01077,1
AMACR,alpha-methylacyl-CoA racemase,K01796,2
AMH,anti-Mullerian hormone,K04665,1
AMHR2,anti-Mullerian hormone receptor type 2,K04672,1
AMT,aminomethyltransferase,K00605,1
ANAPC1,anaphase promoting complex subunit 1,K03348,1
ANAPC7,anaphase promoting complex subunit 7,K03354,1
