gene_symbol,ko_id,variant_entry_count,variant_phenotypes,linked_disease_count,linked_disease_names,linked_drug_target_count,linked_drug_target_names,linked_network_count
TP53,K04451,1,TP53 mutation,14,Chronic myeloid leukemia; Small cell lung cancer; Non-small cell lung cancer; Gastric cancer; Pancreatic cancer; Colorectal cancer; Bladder cancer; Endometrial cancer; Breast cancer; Thyroid cancer; Melanoma; Basal cell carcinoma; Glioma; Hepatocellular carcinoma,0,,0
KRAS,K07827,2,KRAS mutation,12,Acute myeloid leukemia; Non-small cell lung cancer; Gastric cancer; Pancreatic cancer; Colorectal cancer; Endometrial cancer; Thyroid cancer; Melanoma; Medullary thyroid cancer; Noonan syndrome; Cardiofaciocutaneous syndrome; Juvenile myelomonocytic leukemia,2,Sotorasib (JAN/USAN); Adagrasib (USAN/INN),0
NRAS,K07828,2,NRAS mutation,10,Acute myeloid leukemia; Non-small cell lung cancer; Gastric cancer; Pancreatic cancer; Colorectal cancer; Endometrial cancer; Thyroid cancer; Melanoma; Noonan syndrome; Juvenile myelomonocytic leukemia,0,,0
FGFR2,K05093,3,FGFR2 amplification; FGFR2 fusion; FGFR2 mutation,9,Gastric cancer; Breast cancer; Antley-Bixler syndrome; Crouzon syndrome; Apert syndrome; Pfeiffer syndrome; Jackson-Weiss syndrome; Beare-Stevenson syndrome; Saethre-Chotzen syndrome,4,Erdafitinib (JAN/USAN/INN); Pemigatinib (JAN/USAN/INN); Infigratinib phosphate (USAN); Futibatinib (JAN/USAN/INN),0
CDKN2A,K06621,2,CDKN2A deletion; CDKN2A mutation,7,Chronic myeloid leukemia; Non-small cell lung cancer; Pancreatic cancer; Bladder cancer; Melanoma; Glioma; Hepatocellular carcinoma,0,,0
PTEN,K01110,2,PTEN deletion; PTEN mutation,7,Small cell lung cancer; Prostate cancer; Endometrial cancer; Breast cancer; Melanoma; Glioma; Hepatocellular carcinoma,0,,0
MEN1,K14970,1,MEN1 mutation,7,Adrenal carcinoma; Carcinoid; Primary hyperparathyroidism; Multiple endocrine neoplasia syndrome; Pituitary adenomas; Cushing syndrome; Zollinger-Ellison syndrome,0,,0
GNAS,K04632,2,GNAS activating mutation; GNAS inactivating mutation,6,Pseudohypoparathyroidism; Pigmented micronodular adrenocortical disease; Pituitary adenomas; Cushing syndrome; Acromegaly; Bilateral macronodular adrenal hyperplasia,0,,0
TERT,K11126,2,TERT mutation; TERT overexpression,6,"Gastric cancer; Melanoma; Hepatocellular carcinoma; Dyskeratosis congenita; Aplastic anemia; Pulmonary fibrosis and/or bone marrow failure, telomere-related",0,,0
EGFR,K04361,5,EGFR amplification; EGFR mutation in glioblastoma; EGFR mutation in non-small cell lung cancer; EGFR overexpression; First generation TKI-resistant EGFR mutation,5,Non-small cell lung cancer; Colorectal cancer; Bladder cancer; Breast cancer; Glioma,12,Gefitinib (JP18/USAN/INN); Erlotinib hydrochloride (JAN/USAN); Afatinib dimaleate (USAN); Dacomitinib (USAN); Osimertinib mesylate (USAN); Amivantamab (USAN/INN); Mobocertinib succinate (JAN); Lazertinib (USAN); Lazertinib mesilate hydrate (JAN); Aumolertinib (USAN/INN); Aumolertinib mesylate (USAN); Sunvozertinib (USAN/INN),0
ERBB2,K05083,3,ERBB2 amplification; ERBB2 mutation; ERBB2 overexpression,5,Non-small cell lung cancer; Gastric cancer; Pancreatic cancer; Bladder cancer; Breast cancer,9,Trastuzumab (USAN/INN); Lapatinib ditosylate (USAN); Pertuzumab (USAN/INN); Trastuzumab emtansine (USAN/INN); Margetuximab (USAN/INN); Neratinib maleate; Tucatinib (USAN/INN); Trastuzumab deruxtecan (USAN/INN); Tucatinib ethanolate (JAN),0
RET,K05126,3,RET fusion; RET mutation,5,Non-small cell lung cancer; Thyroid cancer; Hirschsprung disease; Malignant paraganglioma; Medullary thyroid cancer,3,Pralsetinib (USAN/INN); Selpercatinib (JAN/USAN/INN); Pralsetinib hydrate (JAN),0
BRAF,K04365,2,BRAF mutation,5,Thyroid cancer; Melanoma; Noonan syndrome; Cardiofaciocutaneous syndrome; Leopard syndrome,3,Vemurafenib (JAN/USAN/INN); Dabrafenib mesylate (USAN); Encorafenib (JAN/USAN/INN),0
FGFR1,K04362,2,FGFR1 amplification; FGFR1 mutation,5,Gastric cancer; Breast cancer; Hypogonadotropic hypogonadism; Pfeiffer syndrome; Jackson-Weiss syndrome,0,,0
RB1,K06618,2,RB1 loss; RB1 mutation,5,Chronic myeloid leukemia; Small cell lung cancer; Bladder cancer; Glioma; Hepatocellular carcinoma,0,,0
TSC1,K07206,2,TSC1 mutation,5,Lymphangioleiomyomatosis; Tuberous sclerosis complex; Focal cortical dysplasia of Taylor; Renal angiomyolipoma; Subependymal giant cell astrocytoma,0,,0
TSC2,K07207,2,TSC2 mutation,5,Lymphangioleiomyomatosis; Tuberous sclerosis complex; Focal cortical dysplasia of Taylor; Renal angiomyolipoma; Subependymal giant cell astrocytoma,0,,0
CFH,K04004,1,CFH mutation,5,Alternative complement pathway component defects; Age-related macular degeneration; Atypical hemolytic uremic syndrome; Basal laminar drusen; C3 glomerulopathy,0,,0
LRP5,K03068,1,LRP5 mutation,5,Osteopetrosis; Osteoporosis-pseudoglioma syndrome; Familial exudative vitreoretinopathy; Osteoporosis; Hyperostosis corticalis generalisata,0,,0
NF1,K08052,1,NF1 mutation,5,Neurofibromatosis type 1; Malignant paraganglioma; Watson syndrome; Neurofibromatosis-Noonan syndrome; Juvenile myelomonocytic leukemia,0,,0
